process,mass_in_kg,mass_out_kg,delta_kg,must_conserve,status
T3-IEA15-TRP-Port_to_Windpark,4156850.0,8275428.0,-4118578.0,no,n/a (not mass-conserving by design)
O1-IEA15-OP-Scheduled maintenance,4156175.0,40880.0,4115295.0,no,n/a (not mass-conserving by design)
I4-IEA15-INST-Commissioning & testing,103202.0,4168800.0,-4065598.0,no,n/a (not mass-conserving by design)
"I2-IEA15-INST-Tower, nacelle, rotor erection",4424938.0,4101000.0,323938.0,no,n/a (not mass-conserving by design)
O2-IEA15-OP-Unscheduled major component,75650.0,334400.0,-258750.0,no,n/a (not mass-conserving by design)
M1.4-IEA15-MFG-Hub/Machining,432950.0,270045.0,162905.0,no,n/a (not mass-conserving by design)
T1-IEA15-TRP-Factory_to_Port,4217000.0,4113109.4,103890.6,no,n/a (not mass-conserving by design)
EOL5.2—Return transport to port,4424300.0,4499331.0,-75031.0,no,n/a (not mass-conserving by design)
I3-IEA15-INST-Cable lay & termination,63200.0,133100.0,-69900.0,no,n/a (not mass-conserving by design)
M1.12-IEA15-Export_Cable-BOTH-ES,205600.0,272000.0,-66400.0,no,n/a (not mass-conserving by design)
M1.13-IEA15-Static_Cable-MP-ES,205600.0,272000.0,-66400.0,no,n/a (not mass-conserving by design)
M1.7-IEA15-MFG-Monopile foundation,1384500.0,1318140.0,66360.0,no,n/a (not mass-conserving by design)
I1-IEA15-INST-Monopile driving & grouting-MP,1736350.0,1688000.0,48350.0,no,n/a (not mass-conserving by design)
M1.6-IEA15-MFG-Tower,1403236.9,1360820.0,42416.9,no,n/a (not mass-conserving by design)
Sub-Process M1.2.3: Power converter 15 MW,56600.0,22000.0,34600.0,no,n/a (not mass-conserving by design)
Sub-Process M1.1.5: Nacelle cover,20000.0,51450.0,-31450.0,no,n/a (not mass-conserving by design)
M1.3-IEA15-MFG-Blades,67500.0,84362.0,-16862.0,no,n/a (not mass-conserving by design)
"Sub-Process M1.1.2: Main Shaft,bedplate & structural nacelle",225000.0,237525.0,-12525.0,no,n/a (not mass-conserving by design)
O3-IEA15-OP-Corrosion protection renewal-new,2088.0,9996.9,-7908.9,no,n/a (not mass-conserving by design)
M1.9-IEA15-MFG-Dynamic_Cable-MP,68000.0,60500.0,7500.0,no,n/a (not mass-conserving by design)
M1.8-IEA15-MFG-Transition piece,363250.0,370000.0,-6750.0,no,n/a (not mass-conserving by design)
Sub-Process M1.1.1: Generator Stator,375500.0,381680.0,-6180.0,no,n/a (not mass-conserving by design)
Sub-Process M1.2.4: Control & SCADA package,6250.0,6000.0,250.0,no,n/a (not mass-conserving by design)
Sub-Process M1.2.2: Switchgear,12015.0,12000.0,15.0,no,n/a (not mass-conserving by design)
Sub-Process M1.1.4: Pitch/Braking,35000.0,35000.0,0.0,no,n/a (not mass-conserving by design)
M1.10-IEA-15-MFG-Electrical BOP,85000.0,85000.0,0.0,no,n/a (not mass-conserving by design)
Sub-Process M1.2.1: Electrical Transformer,45000.0,45000.0,0.0,no,n/a (not mass-conserving by design)
Sub-Process M1.1.3: Yaw system,60000.0,60000.0,0.0,no,n/a (not mass-conserving by design)
Sub-Process M1.1.6: Cooling & auxiliaries,25000.0,25000.0,0.0,no,n/a (not mass-conserving by design)
M1.5-IEA15-MFG-Nacelle complete,736000.0,736000.0,0.0,no,n/a (not mass-conserving by design)
