process,mass_in_kg,mass_out_kg,delta_kg,must_conserve,status
EOL5.3.3.1—Material recovery & waste routing (GENERATOR STATOR),371000.0,28700.0,342300.0,yes,GAP +342300 kg
EOL5.4.2—Material recovery & waste(GENERATOR)Rotor and hub,371000.0,212440.0,158560.0,yes,GAP +158560 kg
EOL5.4.3—Material recovery & waste(HUB)Rotor and hub,190000.0,140000.0,50000.0,yes,GAP +50000 kg
EOL5.3.3.3—Material recovery & waste routing (YAW SYSTEM (8× drives),60000.0,33678.0,26322.0,yes,GAP +26322 kg
EOL5.3.2—Material recovery & waste(MONOPILE),1300000.0,1286280.0,13720.0,yes,GAP +13720 kg
EOL5.3.3.4—Material recovery & waste routing (PITCH SYSTEM (3× drives),35000.0,24700.0,10300.0,yes,GAP +10300 kg
EOL5.3.6.1—Material recovery & waste routing (TRANSFORMER (in-nacelle),45000.0,39060.0,5940.0,yes,GAP +5940 kg
EOL5.3.6.4—Material recovery & waste routing (CONTROL/SCADA),0.0,5550.0,-5550.0,yes,GAP -5550 kg
EOL5.3.3.6—Material recovery & waste routing (COOLING SYSTEM),25000.0,21300.0,3700.0,yes,GAP +3700 kg
EOL5.3.3.2—Material recovery & waste routing (MAINSHAFT/BEDPLATE),225000.0,226814.0,-1814.0,yes,GAP -1814 kg
EOL5.3.3.5—Material recovery & waste routing (NACELLE COVER),20000.0,18450.0,1550.0,yes,GAP +1550 kg
EOL5.3.5—Material recovery & waste(DYNAMIC CABLE),60000.0,58636.0,1364.0,yes,GAP +1364 kg
EOL5.3.1—Material recovery & waste(TOWER SECTIONS),1263000.0,1261945.0,1055.0,yes,BALANCE
EOL5.3.6.2—Material recovery & waste routing (GIS SWITCHGEAR),12000.0,12720.0,-720.0,yes,GAP -720 kg
EOL5.3.6.3—Material recovery & waste routing (POWER CONVERTER (15 MW),22000.0,21710.0,290.0,yes,GAP +290 kg
EOL5.3.4—Material recovery & waste(TRANSITION PIECE),370000.0,370084.0,-84.0,yes,BALANCE
EOL5.4.1—Material recovery & waste(BLADES)Rotor and hub,195000.0,195002.0,-2.0,yes,BALANCE
EOL5.4.4—Material recovery & waste(Rotor+hub) recovery aggregator,756000.0,756000.0,0.0,yes,BALANCE
EOL5.3.3—Material recovery & waste(NACELLE) agregator,736000.0,736000.0,0.0,yes,BALANCE
EOL5.3.6—Material recovery & waste(BOP) agregator,85000.0,85000.0,0.0,yes,BALANCE
EOL5.1—Offshore disassembly,1480.0,9044209.2,-9042729.2,no,n/a (not mass-conserving by design)
T2-IEA15-TRP-Sea_Transport,4156085.0,11699188.0,-7543103.0,no,n/a (not mass-conserving by design)
EOL5.3—Onshore cutting & separation,6950.0,4492686.4,-4485736.4,no,n/a (not mass-conserving by design)
M1.11-Integration_FAT_packaging,756000.0,5216000.0,-4460000.0,no,n/a (not mass-conserving by design)
